ID	掲載号	掲載順	タイトル	作者	原作	ページ	種別	カラー	摘要
MAFT202401	2024年01月号	1	ダーウィン事変	うめざわしゅん		3	連載	C	 
MAFT202401	2024年01月号	2	ブルーピリオド	山口つばさ		37	連載		 
MAFT202401	2024年01月号	3	天国大魔境	石黒正数		71	連載		 
MAFT202401	2024年01月号	4	メダリスト	つるまいかだ		101	連載		 
MAFT202401	2024年01月号	5	どくだみの花咲くころ	城戸志保		133	連載	C	新連載 
MAFT202401	2024年01月号	6	天狗の台所	田中相		215	連載		 
MAFT202401	2024年01月号	7	ヘルハウンド	皆川亮二		235	連載		 
MAFT202401	2024年01月号	8	青野くんに触りたいから死にたい	椎名うみ		269	連載		 
MAFT202401	2024年01月号	9	7人の眠り姫	Fiok Lee		301	連載		 一挙3話掲載
MAFT202401	2024年01月号	10	無限の住人〜幕末ノ章〜	陶延リュウ		347	連載		 
MAFT202401	2024年01月号	11	君と宇宙を歩くために	泥ノ田犬彦		385	出張掲載		 &Sofaより
MAFT202401	2024年01月号	12	冥冥冥色聖域	セキアユム		391	連載		 
MAFT202401	2024年01月号	13	山田君のざわめく時間	中丸雄一		425	連載	C	 
MAFT202401	2024年01月号	14	おおきく振りかぶって	ひぐちアサ		437	連載		 
MAFT202401	2024年01月号	15	地獄のアシタ	ゆうち巴くみ		461	連載		 
MAFT202401	2024年01月号	16	プ〜ねこ	北道正幸		507	連載		 
MAFT202401	2024年01月号	17	すずめの戸締まり	甘島伝記		515	連載		 
MAFT202401	2024年01月号	18	ワンダンス	珈琲		553	連載		 
MAFT202401	2024年01月号	19	ヴィンランド・サガ	幸村誠		575	連載		 
MAFT202401	2024年01月号	20	スキップとローファー	高松美咲		601	連載		 番外編
MAFT202401	2024年01月号	21	フラジャイル	恵三朗		607	連載		 
MAFT202401	2024年01月号	22	カオスゲーム	山嵜大輝		655	連載		 
MAFT202401	2024年01月号	23	最果てのセレナーデ	ひの宙子		689	連載		 
MAFT202401	2024年01月号	24	乾と巽—ザバイカル戦記—	安彦良和		731	連載		 
MAFT202401	2024年01月号	25	波よ聞いてくれ	沙村広明		763	連載		 
MAFT202401	2024年01月号	26	トップウGP	藤島康介		777	連載		 
MAFT202401	2024年01月号	27	イサック	真苅信二		803	連載		 
MAFT202401	2024年01月号	28	アンダー3	榎本俊二		831	連載		 
MAFT202401	2024年01月号	29	帰ってきたカラスヤサトシ	カラスヤサトシ		836	連載		 
MAFT202402	2024年02月号	1	プ〜ねこ	北道正幸		3	連載	C	 
MAFT202402	2024年02月号	2	メダリスト	つるまいかだ		19	連載		 
MAFT202402	2024年02月号	3	ヘルハウンド	皆川亮二		69	連載		 
MAFT202402	2024年02月号	4	来世は他人がいい	小西明日翔		103	連載		 
MAFT202402	2024年02月号	5	どくだみの花咲くころ	城戸志保		137	連載		 
MAFT202402	2024年02月号	6	息継ぎしふたり	板垣巴留		167	読み切り	C	 
MAFT202402	2024年02月号	7	すずめの戸締まり	甘島伝記		197	連載		 
MAFT202402	2024年02月号	8	波よ聞いてくれ	沙村広明		243	連載		 
MAFT202402	2024年02月号	9	天狗の台所	田中相		265	連載		 
MAFT202402	2024年02月号	10	スキップとローファー	高松美咲		291	連載		 
MAFT202402	2024年02月号	11	ミライライフライ	雨田青		313	連載		 
MAFT202402	2024年02月号	12	7人の眠り姫	Fiok Lee		361	連載	C	 
MAFT202402	2024年02月号	13	天国大魔境	石黒正数		405	連載		 
MAFT202402	2024年02月号	14	クオーツの王国	BOMHAT		435	連載		 
MAFT202402	2024年02月号	15	ワンダンス	珈琲		475	連載		 
MAFT202402	2024年02月号	16	ダーウィン事変	うめざわしゅん		503	連載		 
MAFT202402	2024年02月号	17	おおきく振りかぶって	ひぐちアサ		533	連載		 
MAFT202402	2024年02月号	18	つむぎのパン	白之雪		555	読み切り	C	 
MAFT202402	2024年02月号	19	イサック	真苅信二		585	連載		 
MAFT202402	2024年02月号	20	カオスゲーム	山嵜大輝		615	連載		 
MAFT202402	2024年02月号	21	トップウGP	藤島康介		653	連載		 
MAFT202402	2024年02月号	22	フラジャイル	恵三朗		679	連載		 
MAFT202402	2024年02月号	23	冥冥冥色聖域	セキアユム		713	連載		 
MAFT202402	2024年02月号	24	地獄のアシタ	ゆうち巴くみ		745	連載		 
MAFT202402	2024年02月号	25	無限の住人〜幕末ノ章〜	陶延リュウ		783	連載		 
MAFT202402	2024年02月号	26	乾と巽—ザバイカル戦記—	安彦良和		813	連載		 
MAFT202402	2024年02月号	27	最果てのセレナーデ	ひの宙子		847	連載		 
MAFT202402	2024年02月号	28	アンダー3	榎本俊二		881	連載		 
MAFT202402	2024年02月号	29	帰ってきたカラスヤサトシ	カラスヤサトシ		886	連載		 
MAFT202403	2024年03月号	1	ヘルハウンド	皆川亮二		3	連載	C	 
MAFT202403	2024年03月号	2	天国大魔境	石黒正数		39	連載		 
MAFT202403	2024年03月号	3	どくだみの花咲くころ	城戸志保		69	連載		 
MAFT202403	2024年03月号	4	7人の眠り姫	Fiok Lee		103	連載		 
MAFT202403	2024年03月号	5	来世は他人がいい	小西明日翔		147	連載		 
MAFT202403	2024年03月号	6	メダリスト	つるまいかだ		173	連載		 
MAFT202403	2024年03月号	7	ヴィンランド・サガ	幸村誠		205	連載		 
MAFT202403	2024年03月号	8	波よ聞いてくれ	沙村広明		223	連載		 
MAFT202403	2024年03月号	9	プ〜ねこ	北道正幸		243	連載		 
MAFT202403	2024年03月号	10	地獄のアシタ	ゆうち巴くみ		261	連載		 
MAFT202403	2024年03月号	11	青野くんに触りたいから死にたい	椎名うみ		293	連載		 
MAFT202403	2024年03月号	12	スキップとローファー	高松美咲		329	連載		 
MAFT202403	2024年03月号	13	ワンダンス	珈琲		359	連載		 
MAFT202403	2024年03月号	14	ダーウィン事変	うめざわしゅん		381	連載		 
MAFT202403	2024年03月号	15	無限の住人〜幕末ノ章〜	陶延リュウ		415	連載		 
MAFT202403	2024年03月号	16	おおきく振りかぶって	ひぐちアサ		445	連載		 
MAFT202403	2024年03月号	17	トップウGP	藤島康介		461	連載		 
MAFT202403	2024年03月号	18	フラジャイル	恵三朗		487	連載		 
MAFT202403	2024年03月号	19	最果てのセレナーデ	ひの宙子		519	連載		 
MAFT202403	2024年03月号	20	カオスゲーム	山嵜大輝		551	連載		 
MAFT202403	2024年03月号	21	イサック	真苅信二		587	連載		 
MAFT202403	2024年03月号	22	乾と巽—ザバイカル戦記—	安彦良和		615	連載		 
MAFT202403	2024年03月号	23	クオーツの王国	BOMHAT		647	連載		 
MAFT202403	2024年03月号	24	スクエアノット	ヨシダ		693	読み切り		 四季賞大賞受賞作
MAFT202403	2024年03月号	25	フルカラ〜スヤサトシ	カラスヤサトシ		749	連載		 
MAFT202403	2024年03月号	26	帰ってきたカラスヤサトシ	カラスヤサトシ		750	連載		 
