年	号数	掲載順	タイトル	作者	原作者	頁	区分	カラー	備考
2023 	01	1 	戦隊大失格	春場ねぎ		6	連載	C	
2023 	01	2 	彼女、お借りします	宮島礼吏		35	連載		
2023 	01	3 	シャングリラ・フロンティア	不二涼介	硬梨菜	55	連載		
2023 	01	4 	生徒会にも穴はある！	むちまろ		73	連載	C	
2023 	01	5 	ブルーロック	ノ村優介	金城宗幸	87	連載		
2023 	01	6 	はじめの一歩	森川ジョージ		107	連載		
2023 	01	7 	生徒会長為せば成る	澤田コウ		119	読切り		
2023 	01	8 	よわよわ先生	福地カミオ		125	連載		
2023 	01	9 	北沢くんはAクラス	夢乃狸	門馬司	139	連載		
2023 	01	10 	きらぼしお嬢様の求婚	英貴		183	連載		
2023 	01	11 	東京卍リベンジャーズ　番外編	和久井健		193	読切り		
2023 	01	12 	カノジョも彼女	ヒロユキ		209	連載		
2023 	01	13 	甘神さんちの縁結び	内藤マーシー		225	連載		
2023 	01	14 	青のミブロ	安田剛士		245	連載		
2023 	01	15 	EDENS ZERO	真島ヒロ		267	連載		
2023 	01	16 	黒岩メダカに私の可愛いが通じない	久世蘭		287	連載		
2023 	01	17 	カナンさまはあくまでチョロい	nonco		301	連載		
2023 	01	18 	赤羽骨子のボディガード	丹月正光		309	連載		
2023 	01	19 	カッコウの許嫁	吉河美希		329	連載		
2023 	01	20 	日向さん、星野です。	うおやま		349	連載		
2023 	01	21 	アトワイトゲーム	新川直司		359	連載		
2023 	01	22 	女神のカフェテラス	瀬尾公治		379	連載		
2023 	01	23 	ガチアクタ	裏那圭		397	連載		
2023 	01	24 	化物語	大暮維人	西尾維新	417	連載		
2023 	01	25 	それでも歩は寄せてくる	山本崇一朗		439	連載		
2023 	01	26 	無二の一撃	内藤光太郎		447	連載		
2023 	01	27 	戦隊大失格（フルカラー版）	春場ねぎ		471	出張掲載	C	
2023 	01	28 	レトロポリス・スクラッチ	片岡人生	近藤一馬	533	出張掲載	C	
2023 	02-03	1	黙示録の四騎士	鈴木央		4	連載	C	
2023 	02-03	2	よわよわ先生	福地カミオ		27	連載		
2023 	02-03	3	化物語	大暮維人	西尾維新	41	連載		
2023 	02-03	4	それでも歩は寄せてくる	山本崇一朗		63	連載		
2023 	02-03	5	アトワイトゲーム	新川直司		71	連載	C	
2023 	02-03	6	カナンさまはあくまでチョロい	nonco		91	連載		
2023 	02-03	7	北沢くんはAクラス	夢乃狸	門馬司	99	連載		
2023 	02-03	8	日向さん、星野です。	うおやま		137	連載	C	
2023 	02-03	9	ガチアクタ	裏那圭		149	連載		
2023 	02-03	10	きらぼしお嬢様の求婚	英貴		169	連載		
